site,country,region,Latitude,Longitude,Georef rank,Abot sampling,dating,Phase,start date,end date,Median age,-,-,-,-,-,-,-,-,-,-,-,-,references
Ramad,Syria,LS,33.429237,36.090871,2,3,C14,Late PPNB,-6910,-6640,-6775,Tm,Td,Hv,-,Le,Ci,Pis,-,-,-,Linu,-6775,van Zeist and Bakker-Heeres 1985 [1982].
Ramad,Syria,LS,33.429237,36.090871,2,3,ass,pottery Neolithic,-6700,-5500,-6100,Tm,Td,Hv,-,Le,Ci ,Pis,Vic,-,-,Linu,-6100,van Zeist and Bakker-Heeres 1985 [1982].
Ras Shamra,Syria,LN,35.62,35.78,2,3,C14,LPPNB,-7550,-6650,-7100,-,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-7100,van Zeist and Bakker-Heeres 1986b [1984b].
Ras Shamra,Syria,LN,35.62,35.78,2,3,ass,LPPNB,-6640,-6250,-6445,Tm,Td,Hv,-,Le,-,Pis,-,-,La,Linu,-6445,van Zeist and Bakker-Heeres 1986b [1984b].
Ras Shamra,Syria,LN,35.62,35.78,2,3,ass,Pottery Neolithic,-6000,-5700,-5850,Tm,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-5850,van Zeist and Bakker-Heeres 1986b [1984b].
Ras Shamra,Syria,LN,35.62,35.78,2,3,ass,Pottery Neolithic,-5700,-5100,-5400,Tm,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-5400,van Zeist and Bakker-Heeres 1986b [1984b].
Sabi Abyad,Syria,LN,36.5,39.11999893,1,3,C14,Neolithic,-6750,-6020,-6385,Tm  ,Td,Hv,-,Le,-,-,-,-,-,Linu,-6385,van Zeist 1999; van Zeist and de Roller 2000
Sabi Abyad,Syria,LN,36.5,39.11999893,1,3,C14,Halaf,-6020,-5810,-5915,Tm  ,Td,Hv,-,Le,-,Pis,Vic,-,La,Linu,-5915,van Zeist 1999; van Zeist and de Roller 2000
Sabi Abyad II,Syria,LN,36.5,39.11999893,1,3,C14,Middle PPNB,-7650,-6750,-7200,Tm,Td,Hv,-,Le,-,-,-,-,-,Linu,-7200,van Zeist 1999; van Zeist and de Roller 2000
Salat Camii Yani,Turkey,N,37.813443,40.90865,1,2,C14,PPNB,-6480,-6210,-6345,  ?Tm,?Td,Hv,-,Le,wCi,-,-,-,-,-,-6345,Miyake 2011
Sang-i-Chakhmaq East,Iran,E,36.500111,55.002135,3,1,C14,Pottery Neo/Djeitun,-6200,-5700,-5950,Tm,Td,Hv,-,Le,-,-,-,-,-,-,-5950,Roustaei et al 2015
Sarab,Iran,E,34.366667,47.083333,2,1,ass,Neolithic,-6000,-5000,-5500,-,Td,?Hv,-,-,-,-,-,-,-,-,-5500,Bökönyi 1977; Mellaart 1975
Sha'ar Hagolan,Israel  ,LS,32.686582,35.604023,2,2,C14,PPNB,-6400,-6060,-6230,Tm  ,Td,Hv,-,Le,-,-,-,-,-,-,-6230,Allen 2002
Sheikh-e Abad,Iran,E,34.611697,47.269695,2,3,AMS,PPNB I,-8230,-7730,-7980,-,-,Hv,-,Le,Ci,Pis,Ve,-,La,-,-7980,Whitlam et al 2018
Sheikh-e Abad,Iran,E,34.611697,47.269695,2,3,AMS,PPNB II,-7640,-7580,-7610,-,-,Hv,-,Le,-,-,Ve,-,La,-,-7610,Whitlam et al 2018
Shillourokambos,Cyprus,Cy,34.739044,33.098486,2,2,C14,MPPNB,-8250,-7350,-7800,-,Td,Hv,-,Le,-,-,-,-,La,-,-7800,Willcox 2001
Tall-e Jari,Iran,E,29.865572,52.979153,2,1,ass,PNeo,-6250,-5750,-6000,Tm,Td,Hv, ,-,-,-,-,-,-,-,-6000,Miller and Kimiaie 2006
Tall-e Jari,Iran,E,29.865572,52.979153,2,1,ass,PNeo,-6250,-5750,-6000,Tm,Td,Hv,-,-,-,-,-,-,-,-,-6000,Miller and Kimiaie 2006
Tall-e Mushki,Iran,E,29.874325,52.9713,2,1,ass,PNeo,-6400,-6050,-6225,Tm,Td,Hv, ,-,-,-,-,-,-,-,-6225,Miller and Kimiaie 2006
Tell ‘Abr 3,Syria,LN,36.682518,38.086223,3,3,C14,PPNA,-9280,-8960,-9120,Tm2,-,Hv,Sec,Le,-,-,-,-,-,-,-9120,Wilcox et al 2008
Tell Ain el-Kherkh,Syria,LN,35.823854,36.467403,3,3,AMS,MPPNB,-8550,-8310,-8430,Tm Tm2,Td,Hv,-,Le,Ci,-,-,Vicf,La,-,-8430,Tsuneki et al. 2006; Tanno and Willcox 2006a; 2006b; 2012; Maeda et al 2016
Tell Ain el-Kherkh,Syria,LN,35.823854,36.467403,3,3,ass,LPPNB,-7550,-6240,-6895,Tm Tm2 ,Td,Hv,-,Le,Ci,-,Vic,Vicf,-,-,-6895,Tsuneki et al. 2006; Tanno and Willcox 2006a; 2006b; 2012; Maeda et al 2016
Tell Aqab,Syria,N,37.06999969,40.90000153,1,2,C14,Pottery Neolithic,-5580,-4995,-5287.5,-,Td,Hv,-,Le,-,-,Vic,-,-,Linu,-5287.5,McCorriston and Weisberg 2002
Tell Aswad I,Syria,LS,33.40415,36.550062,3,3,C14,Early PPNB,-8700,-8300,-8500,Tm,Td,Hv,-,Le,-,Pis,Vic,-,-,-,-8500,van Zeist and Bakker-Heeres 1985 [1982].
Tell Aswad II,Syria,LS,33.40415,36.550062,3,3,C14,Middle PPNB,-8200,-7500,-7850,Tm,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-7850,van Zeist and Bakker-Heeres 1985 [1982].
Tell Bouqras,Syria,LN,35.08,40.38,1,3,C14,M/L PPNB,-7500,-6300,-6900,Tm,Td,Hv,-,Le,-,Pis,-,-,-,Linu,-6900,van Zeist and Waterbolk-van Rooijen 1985
Tell el'Oueili,Iraq,E,31.21999931,45.86999893,2,1,C14,Neolithic,-6400,-6100,-6250,Tm,?Td,Hv, ,-,-,-,-,-,-,-,-6250,"Neef, 1991"
Tell el'Oueili,Iraq,E,31.21999931,45.86999893,2,1,C14,Chalclithic/Ubaid,-5800,-4400,-5100,?Tm,?Td,Hv,-,-,-,-,-,-,-,Linu,-5100,"Neef, 1991"
Tell es-Sawwan,Iraq,E,34.11666667,43.9,2,2,ass,Pottery Neolithic,-6000,-5000,-5500,Tm,Td,Hv,-,-,-,-,-,-,-,-,-5500,Helbaek 1965
Tell Ghoraife,Syria,LS,33.507799,36.547273,2,3,C14,Middle/Late PPNB,-7800,-7050,-7425,Tm,Td,Hv,-,Le,Ci,Pis,Vic,-,-,Linu,-7425,van Zeist and Bakker-Heeres 1985 [1982].
Tell Halula,Syria,LN,36.42241667,38.18226667,2,3,C14,Middle PPNB,-8000,-7100,-7550,Tm,Td,Hv,-,Le,-,Pis,Vic,-,La,Linu,-7550,Ferrio et al 2012
Tell Halula,Syria,LN,36.42241667,38.18226667,2,3,C14,Late PPNB,-7450,-7190,-7320,-,Td,Hv,wSec,Le,-,-,-,-,-,Linu,-7320,Ferrio et al 2012
Tell Halula,Syria,LN,36.42241667,38.18226667,2,3,C14,Pottery Neolithic,-6850,-6250,-6550,Tm,Td,Hv,-,-,-,-,-,Vicf,-,Linu,-6550,Ferrio et al 2012
Tell Halula,Syria,LN,36.42241667,38.18226667,2,3,C14,Halaf,-6250,-5600,-5925,Tm  ,Td,Hv,-,Le,-,-,-,Vicf,-,Linu,-5925,Ferrio et al 2012
