variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Glaucium corniculatum	Glaucium corniculatum	Glaucium spp. (incl. aleppicum, corniculatum)	Glaucium	Papaveraceae	Wild plants	NA		NA	NA	NA
Glaucium corniculatum (L.) Rud.	Glaucium corniculatum	Glaucium spp. (incl. aleppicum, corniculatum)	Glaucium	Papaveraceae	Wild plants	NA		NA	NA	NA
Glaucium	Glaucium sp.	Glaucium spp. (incl. aleppicum, corniculatum)	Glaucium	Papaveraceae	Wild plants	NA		NA	NA	NA
Glaucium sp.	Glaucium sp.	Glaucium spp. (incl. aleppicum, corniculatum)	Glaucium	Papaveraceae	Wild plants	NA		NA	NA	NA
Glycyrrhiza glabra	Glycyrrhiza glabra	Glycyrrhiza spp. (incl. glabra)	Glycyrrhiza	Fabaceae	Pulses	NA		NA	Small-seeded	NA
Glycyrrhiza	Glycyrrhiza sp.	Glycyrrhiza spp. (incl. glabra)	Glycyrrhiza	Fabaceae	Pulses	NA		NA	Small-seeded	NA
Gundelia tournefortii	Gundelia tournefortii	Gundelia tournefortii	Gundelia	Asteraceae	Wild plants	NA		NA	NA	NA
Gypsophila elegans	Gypsophila elegans	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Gypsophila obionica	Gypsophila obionica	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Gypsophila pilosa	Gypsophila pilosa	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Gypsophila pilosa Hudson	Gypsophila pilosa	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Gypsophila	Gypsophila sp.	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Gypsophila sp.	Gypsophila sp.	Gypsophila spp. (incl. elegans, obionica, pilosa)	Gypsophila	Caryophillaceae	Wild plants	NA		NA	NA	NA
Halothamnus hierochunticus	Halothamnus hierochunticus	Halothamnus hierochunticus	Halothamnus	Amaranthaceae	Wild plants	NA	NA	NA	NA	NA
Helianthemum ledifolium	Helianthemum ledifolium	Helianthemum spp. (incl. ledifolium, salicifolium)	Helianthemum	Cistaceae	Wild plants	NA		NA	NA	NA
Helianthemum salicifolium	Helianthemum salicifolium	Helianthemum spp. (incl. ledifolium, salicifolium)	Helianthemum	Cistaceae	Wild plants	NA		NA	NA	NA
Helianthemum salicifolium (L.) Miller	Helianthemum salicifolium	Helianthemum spp. (incl. ledifolium, salicifolium)	Helianthemum	Cistaceae	Wild plants	NA		NA	NA	NA
cf. Helianthemum sp.	Helianthemum sp.	Helianthemum spp. (incl. ledifolium, salicifolium)	Helianthemum	Cistaceae	Wild plants	NA		NA	NA	NA
Helianthemum	Helianthemum sp.	Helianthemum spp. (incl. ledifolium, salicifolium)	Helianthemum	Cistaceae	Wild plants	NA		NA	NA	NA
Heliotropium europaeum L.	Heliotropium europaeum	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Heliotropium persicum	Heliotropium persicum	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Heliotropium rotundifolium	Heliotropium rotundifolium	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Heliotropium	Heliotropium sp.	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Heliotropium L. sp.	Heliotropium sp.	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Heliotropium suaveolens	Heliotropium suaveolens	Heliotropium spp. (incl. europaeum, persicum, rotundifolium, suaveolens)	Heliotropium	Boraginaceae	Wild plants	NA		NA	NA	NA
Henrardia pubescens	Henrardia pubescens	Henrardia pubescens	Henrardia	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Herniaria	Herniaria sp.	Herniaria sp.	Herniaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Herniaria sp.	Herniaria sp.	Herniaria sp.	Herniaria	Poaceae	Grasses	NA		Small-seeded	NA	NA
Triticoid type	Heteranthelium piliferum	Heteranthelium spp. (incl. piliferum)	Heteranthelium	Caryophillaceae	Wild plants	NA		NA	NA	NA
Heteranthelium	Heteranthelium sp.	Heteranthelium spp. (incl. piliferum)	Heteranthelium	Caryophillaceae	Wild plants	NA		NA	NA	NA
Hippocrepis unisiliquosa L.	Hippocrepis unisiliquosa	Hippocrepis unisiliquosa	Hippocrepis	Fabaceae	Pulses	NA		NA	Small-seeded	NA
Hordeum sp. (imprints)	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sp. awns	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sp. glume remains	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sp. grains	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sp. rachis internodes	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum/bulbosum	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spp.	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare rachis	Hordeum vulgare	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare var. coeleste	Hordeum vulgare	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare var. nudum/spontaneum	Hordeum vulgare	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare vulgare grain (uncarbonized)	Hordeum vulgare	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare vulgare rachis	Hordeum vulgare	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum bulbosum	Hordeum bulbosum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum glaucum	Hordeum glaucum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum marinum	Hordeum marinum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum murinum	Hordeum murinum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum murinum type	Hordeum murinum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
cf. Hordeum sp.	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum	Hordeum sp.	Hordeum sp. (indeter.)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum (non-cereal)	Hordeum sp.	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum hystrix/marinum	Hordeum sp.	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum murinum/bulbosum	Hordeum sp.	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sp. (wild)	Hordeum sp.	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum sphaerococcum	Hordeum sphaerococcum	Hordeum spp. (bulbosum, glaucum, murinum, marinum, hystrix, sphaerococcum)	Hordeum	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum/vulgare grain (naked)	Hordeum sp.	Hordeum spp. (incl. durum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare var. nudum	Hordeum vulgare	Hordeum spp. (incl. durum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare vulgare grain (naked)	Hordeum vulgare	Hordeum spp. (incl. durum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum grain (hulled)	Hordeum distichum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum rachis	Hordeum distichum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum/vulgare grain	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum/vulgare grain (hulled)	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum distichum/vulgare rachis	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum/sativum grains	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum/sativum rachis internodes	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum&vulgare/sativum	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare/spontaneum	Hordeum sp.	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum	Hordeum spontaneum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum Koch	Hordeum spontaneum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum rachis internodes	Hordeum spontaneum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum spontaneum type	Hordeum spontaneum	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare	Hordeum vulgare	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare distichum	Hordeum vulgare	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare hexastichum	Hordeum vulgare	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hordeum vulgare vulgare grain (hulled)	Hordeum vulgare	Hordeum spp. (spontaneum, distichum)	Hordeum	Poaceae	Grasses	barley	Edible seed/fruit	Large/medium-seeded	NA	NA
Hyacinthus sp.	Hyacinthus sp.	Hyacinthus sp.	Hyacinthus	Asparagaceae	Wild plants	NA		NA	NA	NA
Hyoscyamus muticus	Hyoscyamus muticus	Hyoscyamus spp. (incl. muticus)	Hyoscyamus	Solanaceae	Wild plants	NA		NA	NA	NA
Hyoscyamus	Hyoscyamus sp.	Hyoscyamus spp. (incl. muticus)	Hyoscyamus	Solanaceae	Wild plants	NA		NA	NA	NA
Hyoscyamus sp.	Hyoscyamus sp.	Hyoscyamus spp. (incl. muticus)	Hyoscyamus	Solanaceae	Wild plants	NA		NA	NA	NA
Hypericum sp.	Hypericum sp.	Hypericum sp.	Hypericum	Hypericaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Hypericum type	Hypericum sp.	Hypericum sp.	Hypericum	Hypericaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Imperata	Imperata sp.	Imperata sp.	Imperata	Poaceae	Grasses	NA		Small-seeded	NA	NA
Iphiona mucronata	Iphiona mucronata	Iphiona mucronata	Iphiona	Asteraceae	Wild plants	NA		NA	NA	NA
Isoëtes duriei Bory	Isoetes duriei	Isoetes duriei	Isoetes	Isoetaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Juglans regia	Juglans regia	Juglans regia	Juglans	Juglandaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Juncus rigidus Desf.	Juncus rigidus	Juncus spp. (incl. rigidus)	Juncus	Juncaceae	Wild plants	NA		NA	NA	NA
Juncus	Juncus sp.	Juncus spp. (incl. rigidus)	Juncus	Juncaceae	Wild plants	NA		NA	NA	NA
Juncus sp.	Juncus sp.	Juncus spp. (incl. rigidus)	Juncus	Juncaceae	Wild plants	NA		NA	NA	NA
Juniperus sp.	Juniperus sp.	Juniperus sp.	Juniperus	Cupressaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Krascheninnikovia ceratoides	Krascheninnikovia ceratoides	Krascheninnikovia ceratoides	Krascheninnikovia	Amaranthaceae	Wild plants	NA	NA	NA	NA	NA
Lallemantia	Lallemantia sp.	Lallemantia sp.	Lallemantia	Lamiaceae	Wild plants	NA		NA	NA	NA
Lathryrus/sativus/cicera	Lathryrus sp.	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus aphaca	Lathyrus aphaca	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus aphaca L.	Lathyrus aphaca	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus cicera	Lathyrus cicera	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus cicera L.	Lathyrus cicera	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus hirsutus	Lathyrus hirsutus	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus hirsutus L.	Lathyrus hirsutus	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus nissolia	Lathyrus nissolia	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus sativus	Lathyrus sativus	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus sativus L.	Lathyrus sativus	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus sativus type	Lathyrus sativus	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
cf. Lathyrus sp.	Lathyrus sp.	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus	Lathyrus sp.	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus cicera/sativus	Lathyrus sp.	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lathyrus sp.	Lathyrus sp.	Lathryrus spp. (incl. aphaca, cicera, hirsutus, nissolia, sativus)	Lathyrus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens culinaris	Lens culinaris	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens culinaris Medik.	Lens culinaris	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens orientalis	Lens orientalis	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
cf. Lens sp.	Lens sp.	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens	Lens sp.	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens orientalis/culinaris	Lens sp.	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Lens sp.	Lens sp.	Lens spp. (incl. culinaris, orientalis)	Lens	Fabaceae	Pulses	lentil	Edible seed/fruit	NA	Large/medium-seeded	NA
Leontodon sp. L.	Leontodon sp.	Leontodon sp.	Leontodon	Compositae	Wild plants	NA		NA	NA	NA
Coronopus niloticus	Lepidium niloticum	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA		NA	NA	NA
Lepidium perfoliatum	Lepidium perfoliatum	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium ruderale	Lepidium ruderale	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium sativum pod	Lepidium sativum	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium	Lepidium sp.	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Lepidium sp.	Lepidium sp.	Lepidium spp. (incl. niloticum, perfoliatum, ruderale, sativum)	Lepidium	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Linum bienne	Linum bienne	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum mucronatum	Linum mucronatum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
cf. Linum sp.	Linum sp.	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum	Linum sp.	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum bienne/usitatissimum	Linum sp.	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum sp.	Linum sp.	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum strictum L.	Linum strictum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum usitatissimum	Linum usitatissimum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum usitatissimum L.	Linum usitatissimum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum usitatissimum L. dessicated	Linum usitatissimum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Linum usitatissimum L. dessicated capsule	Linum usitatissimum	Linum spp. (incl. bienne, usitatissimum, mucronatum, strictum)	Linum	Linaceae	Wild plants	flax	Edible seed/fruit	NA	NA	NA
Lithospermum arvense L.	Lithospermum arvense	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lithospermum incrassatum	Lithospermum incrassatum	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lithospermum	Lithospermum sp.	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lithospermum L. sp.	Lithospermum sp.	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lithospermum tenuiflorum	Lithospermum tenuiflorum	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lithospermum tenuiflorum, uncarbonized	Lithospermum tenuiflorum	Lithospermum spp. (incl. arvense, incrassatum, tenuiflorum)	Lithospermum	Boraginaceae	Wild plants	NA		NA	NA	NA
Lolium perenne type	Lolium perenne	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium persicum type	Lolium persicum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium remotum Schrank	Lolium remotum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium remotum type	Lolium remotum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium rigidum	Lolium rigidum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium rigidum Gaudin	Lolium rigidum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
cf. Lolium sp.	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium perenne/rigidum	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium rigidum/perenne	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium rigidum/persicum	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium sp.	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium spp.	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium type	Lolium sp.	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium temulentum	Lolium temulentum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lolium temulentum L.	Lolium temulentum	Lolium spp. (incl. perenne, persicum, remotum, rigidum, temulentum)	Lolium	Poaceae	Grasses	NA		Large/medium-seeded	NA	NA
Lupinus albus L.	Lupinus albus	Lupinus spp. (incl. albus, angustifolius, pilosus)	Lupinus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lupinus angustifolius	Lupinus angustifolius	Lupinus spp. (incl. albus, angustifolius, pilosus)	Lupinus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lupinus pilosus	Lupinus pilosus	Lupinus spp. (incl. albus, angustifolius, pilosus)	Lupinus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lupinus	Lupinus sp.	Lupinus spp. (incl. albus, angustifolius, pilosus)	Lupinus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Lycium	Lycium sp.	Lycium sp.	Lycium	Solanaceae	Wild plants	NA		NA	NA	NA
Lycopus sp.	Lycopus sp.	Lycopus sp.	Lycopus	Lamiaceae	Wild plants	NA		NA	NA	NA
