variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Bassia prostrata	Bassia prostrata	Bassia spp. (incl. muricata, protrata)	Bassia	Amaranthaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
cf. Kochia, wood	Bassia sp.	Bassia spp. (incl. muricata, protrata)	Bassia	Amaranthaceae	Wild plants	NA		NA	NA	TRUE
Bellevalia	Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild plants	NA		NA	NA	NA
Bellevalia sp.	Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild plants	NA		NA	NA	NA
Bellevalia type	Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild plants	NA		NA	NA	NA
cf. Bellevalia sp.	Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild plants	NA		NA	NA	NA
Beta	Beta sp.	Beta spp. (incl. vulgaris)	Beta	Amaranthaceae	Wild plants	NA		NA	NA	NA
Beta sp.	Beta sp.	Beta spp. (incl. vulgaris)	Beta	Amaranthaceae	Wild plants	NA	leaves root	NA	NA	NA
Beta vulgaris L.	Beta vulgaris	Beta spp. (incl. vulgaris)	Beta	Amaranthaceae	Wild plants	NA	leaves root	NA	NA	NA
Bifora	Bifora sp.	Bifora sp.	Bifora	Apiaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Bolboschoenus glaucus	Bolboschoenus glaucus	Bolboschoenus spp. (incl. glaucus, maritimus)	Bolboschoenus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Bolboschoenus maritimus	Bolboschoenus maritimus	Bolboschoenus spp. (incl. glaucus, maritimus)	Bolboschoenus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Scirpus maritimus L.	Scirpus maritimus	Bolboschoenus spp. (incl. glaucus, maritimus)	Scirpus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Scirpus maritimus type	Scirpus maritimus	Bolboschoenus spp. (incl. glaucus, maritimus)	Scirpus	Cyperaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
